created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 29 23:53:29 +0000 2023;1718778111980929122;"Depok,Jember,Bondowoso tumpah ruwah menyambut Presiden dan wakil Presuden 2024 - 2029 Anies Rasyid Baswedan dan Muhsimin Iskandar, Semoga ALLAH Menaunginya.";0;0;1;3;in;1613856156174229507;1718778111980929122;AkasiaUsman;https://twitter.com/AkasiaUsman/status/1718778111980929122
Sun Oct 29 23:53:08 +0000 2023;1718778023657517199;"@Nikmatul_Sg @gibran_tweet Waktu pun berputar dan semua akan mendapatkan sesuai perbuatannya.. Kita hanya akan membela untuk kebenaran pak Ganjar presiden ku";0;0;0;0;in;1705602368174432256;1718544255986331774;ufiufiww;https://twitter.com/ufiufiww/status/1718778023657517199
Sun Oct 29 23:53:00 +0000 2023;1718777990216331750;"@Hary_Tanoe Harus memberikan kesempatan untuk Milenial, agar punya kesempatan dan punya Prestasi. Prabowo - Gibran the Next Presiden RI";0;0;0;2;in;1471857145603788805;1718536241828991316;Amoye19306765;https://twitter.com/Amoye19306765/status/1718777990216331750
Sun Oct 29 23:52:52 +0000 2023;1718777956255085032;"Tips memilih presiden ala Jokowi https://t.co/SklvP3AL83";0;0;0;4;in;912692135446536192;1718777956255085032;Mas_zobirin;https://twitter.com/Mas_zobirin/status/1718777956255085032
Sun Oct 29 23:52:45 +0000 2023;1718777924227313991;"@Gus_Raharjo Kenapa ga sekali jadi presiden nya aja yeah pake drama wakil hehr";0;0;0;0;in;1697254749031346176;1718392878916067582;nazwanisyah;https://twitter.com/nazwanisyah/status/1718777924227313991
Sun Oct 29 23:52:36 +0000 2023;1718777886247997885;"@VIVAcoid Sebenrnya cukup bilang Kami ambil Gibran karena dia anak Presiden dan pengin merebut suara Pak Jokowi Tanpa harus cari alasan yg malah jadi bahan ledekan";0;10;3;26;in;3277464444;1718773359943802997;Agus_imam02;https://twitter.com/Agus_imam02/status/1718777886247997885
Sun Oct 29 23:52:34 +0000 2023;1718777878610149850;"Ini yg saya suka dari pak mahfud MD...  Semoga DPR  tidak menolak tanda tangan seperti waktu lalu...  Ganjar - mahfud  next presiden 2024-2029 ...  Mari dukung mereka dan pilih mereka..  😅👍👍👍";0;0;0;1;in;1692139984831254528;1718777878610149850;A32919Anton;https://twitter.com/A32919Anton/status/1718777878610149850
Sun Oct 29 23:52:25 +0000 2023;1718777840009969819;"Impian buyar, seharusnya di akhir masa jabatannya  Presiden @jokowi dipuja-puji,  bukan jadi contoh buruk dan bahan olok-olok. Selamat pagi...";0;0;0;0;in;102934053;1718777840009969819;novylumanauw;https://twitter.com/novylumanauw/status/1718777840009969819
Sun Oct 29 23:52:14 +0000 2023;1718777794703118780;"@JonnyQuiet @kompascom Presiden boleh cawe"kepala daerah akan di berikan sangsi bila dukung salah satu capres";0;0;0;0;in;2994051590;1717070828284858857;RKoting;https://twitter.com/RKoting/status/1718777794703118780
Sun Oct 29 23:52:04 +0000 2023;1718777755033370661;"@ki1_edan Dilegalkan oleh presiden kita....";0;0;0;1;in;1296312516901916672;1718528501039636901;Bambangmulyonoo;https://twitter.com/Bambangmulyonoo/status/1718777755033370661
